benchmark,suite,executor,commit,total_split_count,unforced_split_count,node_created_splitting,node_created_nosplitting
LiquidMiddleware,ruby-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,74871,74306,68257,155726
ImageDemoSobel,ruby-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,2898,2874,814,6212
RubykonBench,yjit-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,15719,15624,11403,12164
DeltaBlue,game-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,7940,7898,5692,8074
RubykonBench,yjit-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,15521,15386,12607,39793
LiquidMiddleware,ruby-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,12243,12143,9112,97970
NeuralNet,game-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,10903,10808,5723,6802
List,game-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,2750,2731,714,4757
HexaPdfSmall,yjit-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,164580,163911,153901,168312
List,game-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,2801,2740,2103,32643
LiquidMiddleware,ruby-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,12243,12143,9112,97970
AsciidoctorLoadFileSmall,ruby-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,33311,33187,29941,42158
Pidigits,ruby-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,2750,2731,714,4853
MatrixMultiply,ruby-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,2971,2946,827,5475
Richards,game-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,2941,2919,841,6381
AsciidoctorLoadFileSmall,ruby-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,28710,28589,25394,41823
AsciidoctorLoadFileSmall,ruby-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,91961,91383,85108,100228
HexaPdfSmall,yjit-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,165758,165126,153736,140821
ImageDemoSobel,ruby-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,2949,2883,2203,34098
DeltaBlue,game-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,5949,5908,3709,8074
HexaPdfSmall,yjit-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,164869,164241,152884,140821
